Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
2;SANTA MARIA - URB;561;147;180;2.301;408;0;93;4;183;943;86;274
2;VIA SUL - URB;50;27.193;17.532;59.793;17.904;136;14.454;6.269;11.507;51.027;1.620;4.241
2;VIA SUL - URB;51;15.863;11.721;21.132;7.674;0;8.650;4.730;5.875;26.157;390;2.793
2;VIA SUL - URB;52;12.383;9.651;19.549;6.078;0;9.265;5.356;4.704;25.248;349;2.672
2;VIA SUL - URB;65;8.087;5.726;11.796;3.741;0;4.117;1.868;2.892;12.229;0;1.515
3;CONCEIÇÃO;21;22.965;13.145;37.385;10.113;0;18.446;8.256;7.821;47.038;1.116;4.042
3;CONCEIÇÃO;22;7.604;4.358;14.128;3.501;0;9.395;3.644;2.482;16.971;0;1.832
3;CONCEIÇÃO;30;19.848;10.051;23.635;6.426;0;8.429;3.475;5.504;24.615;732;2.643
3;CONCEIÇÃO;31;23.588;10.947;24.646;9.971;0;8.371;3.649;6.392;24.136;0;2.636
3;CONCEIÇÃO;41;14.152;7.062;25.574;11.358;0;7.672;3.885;5.634;17.866;0;2.680
3;CONCEIÇÃO;59;12.849;7.151;21.872;8.027;0;13.980;4.178;5.267;28.743;997;2.652
3;CONCEIÇÃO;63;51.931;25.287;51.206;25.071;0;18.192;6.907;8.639;46.235;1.981;4.337
3;CONCEIÇÃO;71;14.651;8.109;21.642;4.394;0;12.064;4.393;3.550;26.335;737;2.481
3;CONCEIÇÃO;76;3.854;2.053;7.241;1.495;50;3.650;1.195;1.505;8.911;82;677
3;CONCEIÇÃO;83;7.371;5.347;14.780;1.336;0;3.209;1.197;2.657;16.862;609;1.272
3;CONCEIÇÃO;411;8.007;3.772;10.298;4.427;0;4.764;1.525;2.849;11.135;223;1.103
3;CONCEIÇÃO;587;343;1;228;102;0;535;126;100;1.411;46;1.018
3;CONCEIÇÃO;599;8.750;3.520;15.713;6.096;0;5.107;975;3.766;10.695;315;1.539
3;CONCEIÇÃO;905;122;144;702;31;0;239;11;52;483;23;270
3;CONCEIÇÃO;2369;977;482;1.749;1.174;0;1.003;474;319;1.536;0;369
3;CONCEIÇÃO;3001;3.327;1.732;4.404;1.768;0;1.560;704;1.092;3.620;201;702
3;CONCEIÇÃO;3101;1.796;910;2.455;1.089;0;670;305;663;1.914;0;336
3;CONCEIÇÃO;6301;5.429;3.379;9.376;2.364;0;3.027;1.064;1.629;8.245;489;1.033
3;CONCEIÇÃO;7601;165;45;239;76;0;163;74;32;205;457;32
3;DUNAS - URB;33;55.579;31.119;74.452;21.802;1;20.658;7.009;17.001;73.576;2.410;4.790
3;DUNAS - URB;40;38.065;20.346;55.720;19.523;0;35.487;12.892;12.540;74.020;1.961;4.627
3;DUNAS - URB;57;4.265;1.936;3.682;1.604;0;1.841;595;1.077;3.531;0;603
3;DUNAS - URB;331;17.746;8.176;21.354;4.963;0;6.034;2.337;6.126;20.814;930;1.630
3;DUNAS - URB;332;3.586;1.721;5.234;1.202;0;1.258;425;1.302;3.484;334;607
3;DUNAS - URB;411;5.130;2.376;6.942;3.143;0;3.135;947;1.829;7.460;249;694
3;GUANABARA - URB;2;19.799;10.288;41.190;8.773;206;9.397;4.089;6.886;31.516;1.152;2.712
3;GUANABARA - URB;4;13.369;10.562;33.885;7.357;1;4.927;2.675;4.070;23.109;977;2.244
3;GUANABARA - URB;5;7.720;3.897;14.709;2.087;114;5.093;2.666;2.353;18.336;633;1.458
3;GUANABARA - URB;8;33.745;16.717;53.171;21.619;495;20.411;6.719;10.305;47.436;2.783;3.440
3;GUANABARA - URB;13;3.815;1.511;4.569;1.213;25;2.044;903;1.117;5.629;0;951
3;GUANABARA - URB;18;948;252;982;352;0;85;39;187;202;0;66
3;GUANABARA - URB;19;7.412;4.178;13.878;4.512;0;9.998;4.508;3.351;16.288;261;1.877
3;GUANABARA - URB;20;8.350;4.949;14.606;5.040;0;12.019;6.507;3.362;18.255;156;2.300
3;GUANABARA - URB;25;8.292;4.343;8.728;2.709;0;5.420;3.268;1.693;10.467;0;1.445
3;GUANABARA - URB;60;34.972;18.677;63.358;12.683;281;14.644;6.260;10.990;50.622;1.778;3.988
3;GUANABARA - URB;64;29.059;12.917;43.960;9.111;219;19.425;9.436;7.665;47.537;1.252;3.368
3;GUANABARA - URB;67;7.416;3.733;13.807;1.954;86;4.791;2.564;2.393;17.289;29;1.266
